ID,Breeding.values
A1257,118.451477490177
A1258,242.42322419957
A1259,122.205343395964
A1260,186.319091751649
A1261,161.04304954394
A1262,381.806917689195
A1263,211.082920735772
A1264,244.311271608644
A1265,131.257108238801
A1267,222.196199601779
A1268,268.719626245986
A1269,232.263638241376
A1270,237.61664491737
A1272,228.002583690013
A1273,261.395331435964
A1274,348.519018032365
A1275,265.482310510634
A1276,286.80474948438
A1277,237.335788326159
A1279,-5.4947942003597
A1302,72.1444181626114
A1304,274.642442799672
A1307,246.135169464529
A1309,248.000354587782
A1310,255.505492588401
A1311,56.8806067906122
A1312,147.327470230429
A1313,9.34955648913539
A1314,13.0153789147018
A1316,305.609397007265
A1317,197.382046234452
A1318,104.803093351904
A1319,75.4341667947542
A1320,-80.5748985946379
A1321,14.7207536631912
B1005,217.889662223154
B1007,190.383146085287
B1008,37.3072645489712
B1009,52.8473234309639
B1010,188.995677461899
B1011,45.9577977135335
B1012,205.420551574326
B1019,286.642851630461
B1053,298.187265190703
B1055,219.593976739029
B1057,114.463984949642
B1058,155.359690535058
B1060,-39.1838912680644
B1061,-64.6646544886977
B1062,239.561009989413
B1075,26.5252547552004
B1102,131.910228952391
B1103,187.222042237859
B1104,322.315295690188
B1105,175.211006187567
B1106,99.7601796552729
B1107,20.1092446393658
B1110,138.646807312356
B1111,173.49544577355
B1151,177.814105854152
B1152,177.021716657083
B1153,85.7137265893263
B1155,-74.5133323562854
B1157,150.728579288971
B1158,175.938309339171
B1159,-11.6115194445859
B1160,138.850985484556
B1161,-38.5795848305861
B1201,-35.3370835008344
B1202,-2.80002359242353
B1203,64.3347337439422
B1205,125.377180595104
B1206,170.369735250044
B1207,277.682855764576
B1208,51.18954890263
B1209,52.294886411002
B1210,76.001024199947
B1211,49.6044571243156
B1216,-57.3049943802786
B1217,71.2229854285218
B1218,146.941571444391
B1219,34.3969609484569
B1220,63.640810691775
M1345,-253.578136223034
M1347,-144.034903789964
M1351,97.8876709634371
M1353,110.191395968999
M1354,105.087050641915
M1356,110.8493586012
M1357,109.942858209963
M1358,-83.9828015828579
M1359,-217.144286177119
M1360,137.686553966241
M1361,108.28494660788
M1362,-68.211006995462
M1363,5.48786353701092
M1364,4.10225896834681
M1365,90.5214543920602
M1366,4.11703186289371
M1367,16.7750471736257
M1368,119.811626152909
M1463,11.6154279384579
M1464,-4.91810516316486
M1465,-152.089944528287
M1467,166.103286438385
M1469,130.849622600993
M1471,90.0656460373005
