ID,Breeding.values
A1257,-51.0710669781939
A1258,258.470599688474
A1259,-77.1127336448602
A1260,112.970599688474
A1261,41.4914330218074
A1262,374.116433021805
A1263,116.845599688475
A1264,196.845599688472
A1265,48.0539330218061
A1267,128.38726635514
A1268,171.57476635514
A1269,127.991433021807
A1270,160.033099688474
A1272,108.428933021806
A1273,70.5955996884736
A1274,403.762266355141
A1275,163.803933021807
A1276,223.283099688474
A1277,176.970599688474
A1279,-180.446066978193
A1302,-14.6960669781926
A1304,210.928933021806
A1307,86.7830996884736
A1309,168.803933021807
A1310,252.491433021809
A1311,-150.404400311525
A1312,45.2414330218073
A1313,-179.383566978195
A1314,-175.904400311525
A1316,298.053933021809
A1317,108.345599688474
A1318,-58.1960669781926
A1319,14.3247663551399
A1320,-356.529400311525
A1321,-151.779400311525
B1005,143.491433021807
B1007,152.616433021806
B1008,-145.425233644859
B1009,-26.9877336448601
B1010,75.8872663551385
B1011,-192.404400311526
B1012,88.7414330218074
B1019,303.19976635514
B1053,295.074766355139
B1055,164.949766355141
B1057,-51.8835669781926
B1058,122.678933021806
B1060,-230.175233644861
B1061,-259.966900311528
B1062,241.303933021806
B1075,-187.633566978193
B1102,-2.27940031152642
B1103,118.741433021806
B1104,382.053933021807
B1105,-35.7377336448615
B1106,14.6997663551398
B1107,-36.1544003115264
B1110,93.6164330218074
B1111,38.8664330218074
B1151,36.3455996884749
B1152,108.220599688474
B1153,45.1372663551399
B1155,-195.529400311526
B1157,18.8039330218061
B1158,117.32476635514
B1159,-292.716900311528
B1160,4.3039330218061
B1161,-211.258566978194
B1201,-193.779400311526
B1202,-69.6544003115264
B1203,54.9497663551398
B1205,4.74143302180607
B1206,140.82476635514
B1207,190.366433021807
B1208,-22.7169003115264
B1209,-197.571066978193
B1210,-46.5919003115277
B1211,-83.2794003115264
B1216,-227.966900311526
B1217,-81.6960669781926
B1218,78.3039330218061
B1219,-57.6544003115264
B1220,-116.904400311526
M1345,-470.341900311526
M1347,-353.821066978194
M1351,-121.925233644861
M1353,61.0122663551412
M1354,-33.3419003115264
M1356,61.4289330218074
M1357,51.5330996884736
M1358,-177.508566978193
M1359,-540.487733644859
M1360,58.1580996884749
M1361,87.0330996884723
M1362,-258.216900311528
M1363,-131.800233644861
M1364,-170.341900311526
M1365,-27.9877336448588
M1366,-111.008566978193
M1367,-186.341900311528
M1368,47.4914330218074
M1463,-129.946066978193
M1464,-174.446066978191
M1465,-347.946066978193
M1467,101.887266355141
M1469,47.9289330218074
M1471,-23.3627336448588
