id,loc,phe
M1463,1,3451.66666666667
A1257,1,3457.33333333333
A1258,1,3911
A1302,1,3913.66666666667
M1464,1,3561
A1261,1,4085
A1262,1,4449.33333333333
M1467,1,3429
B1053,1,3761.33333333333
A1260,1,3611.66666666667
M1465,1,3195.33333333333
M1469,1,3485.33333333333
A1304,1,4162.33333333333
M1471,1,3415.33333333333
A1263,1,3872.66666666667
B1201,1,3858.66666666667
B1202,1,3769
B1203,1,3688
B1102,1,3789.66666666667
B1205,1,3625.33333333333
B1151,1,3678.66666666667
B1206,1,3589.33333333333
B1152,1,3566.33333333333
B1207,1,3501
B1208,1,3766.66666666667
A1307,1,3955.66666666667
A1309,1,3821.66666666667
A1310,1,3826
A1313,1,3705.33333333333
A1314,1,3633.66666666667
A1311,1,3748
A1312,1,3824.66666666667
M1345,1,3346.33333333333
M1351,1,3586.33333333333
M1353,1,3580.66666666667
M1354,1,3545
M1356,1,3854.66666666667
M1357,1,3498
M1358,1,3476
M1359,1,3393.33333333333
M1360,1,3484.33333333333
M1361,1,3684.66666666667
B1209,1,3469
B1210,1,3455.33333333333
B1103,1,3728
B1153,1,3790.33333333333
B1005,1,3829.33333333333
B1104,1,3667
B1105,1,3729.33333333333
B1055,1,3781.33333333333
B1106,1,3807
B1107,1,3446.33333333333
B1211,1,3564.33333333333
A1264,1,3700.33333333333
A1265,1,3565.66666666667
A1316,1,3826.66666666667
A1269,1,3767
A1273,1,3866.66666666667
A1274,1,4029
A1275,1,3743.33333333333
A1276,1,3750.66666666667
A1279,1,3714.33333333333
M1367,1,3344
B1155,1,3459
B1057,1,3716.66666666667
B1157,1,3650.33333333333
B1011,1,3869.66666666667
A1267,1,3408
A1272,1,3919.33333333333
A1270,1,3720
A1277,1,3715.66666666667
A1321,1,3484.66666666667
A1317,1,3789.66666666667
A1318,1,3566.33333333333
A1319,1,3638
A1320,1,3344.66666666667
A1268,1,3435
M1362,1,3427.33333333333
M1363,1,3555
M1347,1,3274.33333333333
M1364,1,3435.33333333333
M1365,1,3622.66666666667
M1368,1,3618.66666666667
M1366,1,3461.33333333333
B1216,1,3292
B1007,1,4259.66666666667
B1008,1,3924
B1009,1,4189.66666666667
B1158,1,4039.33333333333
B1159,1,3696
B1160,1,3797
B1110,1,3876.66666666667
B1111,1,3476
B1161,1,3537
B1062,1,3991.66666666667
B1010,1,3960.33333333333
B1217,1,3469
B1218,1,3675.66666666667
B1219,1,4006
B1220,1,3598
B1058,1,3614
B1060,1,3756
B1061,1,3583.33333333333
B1012,1,3703
B1019,1,3510.33333333333
B1075,1,3869.33333333333
A1259,1,3836
M1463,2,2225.66666666667
A1257,2,2358.33333333333
A1258,2,2903.5
A1302,2,2409.16666666667
M1464,2,2250.66666666667
A1261,2,2687.66666666667
A1262,2,2358.83333333333
M1467,2,2054.16666666667
B1053,2,3031.83333333333
A1260,2,2169.66666666667
M1465,2,1965.66666666667
M1469,2,2275
A1304,2,2274.16666666667
M1471,2,2322.5
A1263,2,2500.66666666667
B1201,2,2827.33333333333
B1202,2,1782.83333333333
B1203,2,2176.83333333333
B1102,2,2465.83333333333
B1205,2,2561.33333333333
B1151,2,2326.66666666667
B1206,2,2720
B1152,2,1979.66666666667
B1207,2,2741.66666666667
B1208,2,2684.5
A1307,2,1978.83333333333
A1309,2,2317.33333333333
A1310,2,2436.16666666667
A1313,2,3014
A1314,2,1781.16666666667
A1311,2,2427.16666666667
A1312,2,2289.5
M1345,2,2630.66666666667
M1351,2,1964.5
M1353,2,1793.5
M1354,2,1847.83333333333
M1356,2,1914.33333333333
M1357,2,1786.66666666667
M1358,2,1745.5
M1359,2,1411.5
M1360,2,1586
M1361,2,1967.33333333333
B1209,2,1810.33333333333
B1210,2,2313.5
B1103,2,2509.16666666667
B1153,2,2530.5
B1005,2,1634
B1104,2,3090.16666666667
B1105,2,2204.33333333333
B1055,2,2704.66666666667
B1106,2,2081.5
B1107,2,2336.16666666667
B1211,2,2588.33333333333
A1264,2,2466.33333333333
A1265,2,2538.5
A1316,2,2567.16666666667
A1269,2,2730.5
A1273,2,2529.5
A1274,2,2579.16666666667
A1275,2,2842.16666666667
A1276,2,2618.83333333333
A1279,2,2982.5
M1367,2,2783.33333333333
B1155,2,2030.5
B1057,2,2179.66666666667
B1157,2,2398.66666666667
B1011,2,2145.33333333333
A1267,2,2377
A1272,2,2756.16666666667
A1270,2,2944.83333333333
A1277,2,2349.16666666667
A1321,2,2197.16666666667
A1317,2,2250.16666666667
A1318,2,2178.66666666667
A1319,2,2024.83333333333
A1320,2,2813.16666666667
A1268,2,2985.83333333333
M1362,2,2034.33333333333
M1363,2,1994.33333333333
M1347,2,1907.83333333333
M1364,2,2165.16666666667
M1365,2,2516.83333333333
M1368,2,2167
M1366,2,2517
B1216,2,2369.5
B1007,2,2759.5
B1008,2,2194.16666666667
B1009,2,1965.33333333333
B1158,2,2237.5
B1159,2,1833.33333333333
B1160,2,2043.33333333333
B1110,2,1879.83333333333
B1111,2,2360.66666666667
B1161,2,2322.66666666667
B1062,2,2740
B1010,2,2189
B1217,2,2343.66666666667
B1218,2,2308.83333333333
B1219,2,2455.5
B1220,2,2320.83333333333
B1058,2,3039
B1060,2,2060.83333333333
B1061,2,1802.5
B1012,2,2227.66666666667
B1019,2,2182.83333333333
B1075,2,2080.5
A1259,2,2420.5
M1463,3,3546.66666666667
A1257,3,3934
A1258,3,3730.33333333333
A1302,3,4070
M1464,3,3947.66666666667
A1261,3,3898
A1262,3,4033.33333333333
M1467,3,3526
B1053,3,3926
A1260,3,3884.33333333333
M1465,3,3428
M1469,3,3358
A1304,3,4359.33333333333
M1471,3,3871.66666666667
A1263,3,3767.33333333333
B1201,3,4190
B1202,3,3670.66666666667
