,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107
1,2608.25388229117,-13200.369308584,3938.22958484829,-5769.52906325679,-2119.01175487797,-19106.5254084996,-5967.42944779734,-10053.1148060527,-2454.1656319223,-6556.87467917058,-8762.50638429133,-6536.65904849173,-8173.06115291804,-5537.58130073076,-3605.3926000558,-20620.5697482908,-8365.6416346483,-11403.3061392888,-9038.0773498612,9215.57317259496,750.5438209593,-10772.3656659956,-4432.10549676531,-8620.99696953927,-12895.006887277,7681.31320212499,-2310.52825604619,9161.31016393074,8983.62541006893,-15221.9323764709,-5533.32537848264,2972.13523451074,-731.581101970327,18208.3368830052,7751.53591922,-7328.26058665373,-7794.2840728297,7427.0218477961,1378.29235256631,-3875.64366281532,9826.29801520918,-4532.11966959764,-15484.7355752961,-15069.7831560982,-8424.16056556085,2649.74912421089,-6265.34400517002,11755.2947741981,13276.7869779235,-12323.6493254583,9582.64646650073,116.411405980084,-6064.25167894338,-19511.9020026391,1825.16418862558,-750.732752087145,1846.4437998664,-4781.09112111633,-1984.95020406021,-1856.20855605272,-5526.94149511037,-2305.20835323593,9985.89509951604,-960.33692281013,-5991.90100072431,14949.3644214594,-219.806451626318,10789.2004238606,9896.5207323042,3557.3245436359,-2806.34319795945,-242.150043429277,-7192.07107471187,-9722.21685125657,1160.17633734692,10090.1651945965,2379.49806145137,4253.16783121379,11642.5128346212,4172.30530849829,-3999.06540801267,2944.47173989757,5970.43245835554,24020.862693461,18070.0194099394,6226.85177380864,-3115.96154151482,1702.80642399023,-3137.24115275571,-2631.85038578398,9065.55191334652,27603.2852458688,-2970.19620451458,-4444.8732635098,13187.4126107117,6731.17856021831,8699.54260000278,1429.36341954444,5669.32595929662,9516.67967165398,-2425.43815674714,6636.48429019617,8909.1467707257,17769.9768914424,-5203.49140424849,-2447.7817485501,1193.15973477029
2,-13200.369308584,66807.0509033194,-19931.3745088046,29199.5786486464,10724.3155750807,96698.0987964587,30201.1522224395,50878.8001975166,12420.528885536,33184.3337271769,44347.0327512228,33082.0224481336,41363.8512464852,28025.6913417276,18246.8869868472,104360.675116391,42338.5007994771,57712.1166767812,45741.6970287087,-46640.0031432801,-3798.50124491543,54518.9278097961,22430.8798193044,43630.8537979194,65261.6121093491,-38875.1155443052,11693.5803239125,-46365.3781311116,-45466.1158363613,77038.1788076552,28004.1521250872,-15041.972331364,3702.53095021028,-92152.3679050919,-39230.5126188768,37088.3167433049,39446.860965462,-37588.1473500232,-6975.5356994198,19614.6272435316,-49730.8807312213,22937.0514103611,78368.2254352182,76268.1518127491,42634.665028287,-13410.3766708306,31708.8973872883,-59493.5306736218,-67193.8006226744,62369.9722753335,-48497.760578541,-589.157965450337,30691.169401015,98749.7091814865,-9237.15344669431,3799.45742509343,-9344.84952989739,24197.0955838424,10045.8302508985,9394.26894751731,27971.8433001261,11666.6563031114,-50538.6013552478,4860.26384464811,30325.0027181231,-75658.7127624719,1112.44014916524,-54604.1284961815,-50086.277805793,-18003.6146194613,14202.8990625545,1225.52103652894,36399.0618108023,49204.1261037022,-5871.65084658352,-51066.3121629452,-12042.6364141462,-21525.2765402167,-58922.7414326427,-21116.0314240432,20239.2645261123,-14901.9674231996,-30216.3504547416,-121569.553032137,-91452.3433642695,-31514.0882573445,15769.8770731662,-8617.90096827355,15877.5731563696,13319.7911802857,-45880.7457566952,-139700.188639451,15032.1589032221,22495.4974692262,-66741.4770732195,-34066.4854292682,-44028.3731255944,-7234.00629910794,-28692.4508774117,-48163.9027206105,12275.1391732115,-33587.2378590122,-45089.1795451487,-89933.8285910995,26334.8628354326,12388.2200605753,-6038.57977554875
3,3938.22958484829,-19931.3745088046,5946.37369018316,-8711.47176347742,-3199.51782315419,-28849.1408517756,-9010.28360635133,-15179.3022979399,-3705.57013769848,-9900.29307383564,-13230.599258123,-9869.76928343457,-12340.5897906387,-8361.25143150691,-5443.81967527644,-31135.2121012891,-12631.3690570911,-17217.9701936761,-13646.6867167485,13914.689500152,1133.25389851639,-16265.3066301051,-6692.08205115262,-13016.9327253154,-19470.3046222198,11598.0944602376,-3488.69057432241,13832.7572206545,13564.4691681815,-22983.7535489138,-8354.82537036994,4487.65781206781,-1104.62189246876,27492.9566827844,11704.1244689992,-11065.0166549299,-11768.6703494392,11214.1373072976,2081.09791623453,-5851.87455748036,14836.8292733218,-6843.09448787384,-23380.5628241278,-22754.0218632632,-12719.7273977259,4000.88368093463,-9460.10788594617,17749.4414836996,20046.7583402028,-18607.6059145677,14468.9372732244,175.770789092751,-9156.47649721954,-29461.2231750819,2755.83433562717,-1133.53916758557,2787.96464131239,-7219.01906439253,-2997.09689733643,-2802.70854794008,-8345.18627866434,-3480.65799790101,15077.806565962,-1450.02267858632,-9047.23345788937,22572.200367072,-331.88804073585,16290.7256055843,14942.8592820835,5371.24121841521,-4237.32669679119,-365.624861705474,-10859.3826985436,-14679.6760445327,1751.76228295958,15235.2450638202,3592.82879873072,6421.90221432643,17579.1508635671,6299.80705272203,-6038.23033045551,4445.88841467689,9014.81788313482,36269.3496807401,27284.1096958297,9401.98806664352,-4704.82264451327,2571.08507793622,-4736.95295019859,-3973.85819017129,13688.1708450702,41678.4866428702,-4484.73005056859,-6711.36023456373,19911.8110563243,10163.4763113865,13135.529587282,2158.21064987929,8560.17405768703,14369.3333256,-3662.19422502335,10020.4964510866,13452.0130982827,26831.0723856661,-7856.80563224691,-3695.93104599298,1801.56425677181
4,-5769.52906325679,29199.5786486464,-8711.47176347742,12762.3563939734,4687.31207040773,42264.1577917861,13200.1174677664,22237.765442844,5428.68163086319,14503.986472504,19382.90424655,14459.2689434607,18079.0352418122,12249.2815870548,7975.2272321743,45613.2653617176,18505.0285448042,25224.4256721082,19992.4747740358,-20385.100397953,-1660.2234995884,23828.7680551234,9803.93881463148,19069.8815432465,28524.1086046759,-16991.2752989783,5110.9518192395,-20265.0691357842,-19872.0255910344,33671.331552982,12239.8673704142,-6574.44458603702,1618.27744553743,-40277.340159765,-17146.6098735499,16210.313238632,17241.1699607892,-16428.7758546962,-3048.82045409265,8573.02998885895,-21736.0404858943,10025.1729056881,34252.6594305454,33334.7733080764,18634.4740236139,-5861.31767550353,13859.1126326156,-26003.0341782946,-29368.6166273471,27260.2500206608,-21197.0765832139,-257.505220123238,13414.2908963422,43160.8619268136,-4037.31320136696,1660.64142042059,-4084.38428457029,10575.9045791694,4390.76424622549,4105.98419284422,12225.7460454532,5099.18404843853,-22089.0736099208,2124.29158997533,13254.2492134503,-33068.4037671446,486.217894492457,-23866.0070008542,-21891.375060466,-7868.89937413417,6207.70805788167,535.642531856161,15909.0583061294,21505.8100990292,-2566.34185125642,-22319.7219176181,-5263.51491881889,-9408.12379488963,-25753.5574373157,-9229.25367871616,8846.04227143953,-6513.25217787248,-13206.7602094145,-53134.8065368095,-39971.3781189423,-13773.9667620173,6892.5923184932,-3766.65447294646,6939.66340169668,5821.72517561277,-20053.2492613681,-61059.2233941239,6570.15539854906,9832.18146455345,-29170.9180778922,-14889.5514339409,-19243.6266302673,-3161.79105378098,-12540.7043820846,-21051.1562252832,5365.13566853857,-14680.0851136851,-19707.2767998219,-39307.6758457724,11510.2655807596,5414.56030590228,-2639.30203022179
5,-2119.01175487797,10724.3155750807,-3199.51782315419,4687.31207040773,1721.53901420313,15522.6269230817,4848.09137336728,8167.40601511174,1993.82654340868,5326.97166282723,7118.88292645654,5310.54797058945,6640.00263699654,4498.8718121003,2929.11259610863,16752.6750312075,6796.45991568292,9264.33577562586,7342.7637838034,-7486.96590207426,-609.760878709675,8751.74369683555,3600.75516814913,7003.91708079196,10476.2313818045,-6240.49410171074,1877.1318880349,-7442.88125448868,-7298.52564376683,12366.6847988606,4495.41419268187,-2414.6382151583,594.355083777325,-14792.9157333308,-6297.54482211573,5953.66518242746,6332.27450875141,-6033.90134145636,-1119.75974293609,3148.67142918228,-7983.13428862669,3682.00922448353,12580.1927979519,12243.0749046497,6844.00218268711,-2152.72354420814,5090.12473266105,-9550.30029005461,-10786.3992321626,10012.045974873,-7785.1855769185,-94.5755853555867,4926.75221513769,15851.9651726924,-1482.80978187696,609.914371160499,-1500.09787896931,3884.27996046484,1612.62400252088,1508.03101511178,4490.22776355414,1872.80986376176,-8112.79501681984,780.202127520818,4867.97268502349,-12145.2436636268,178.576348704611,-8765.42068205874,-8040.18500903168,-2890.06088519986,2279.94455028825,196.728850651651,5843.02136103596,7898.57610532468,-942.556747738774,-8197.50669257271,-1933.16471113448,-3455.38166012198,-9458.67337546472,-3389.68689117077,3248.94239231836,-2392.16368893817,-4850.53109548024,-19515.1594541253,-14680.5431022302,-5058.85266544397,2531.48636298301,-1383.40322359548,2548.77446007541,2138.18215413042,-7365.0848175727,-22425.6105996341,2413.06289789995,3611.12802640453,-10713.7892243745,-5468.58056653431,-7067.72954758307,-1161.25117595784,-4605.90452162251,-7731.59247593207,1970.48761233397,-5391.64853447299,-7238.01730394333,-14436.780933227,4227.44868774938,1988.64011428101,-969.353298231986
6,-19106.5254084996,96698.0987964587,-28849.1408517756,42264.1577917861,15522.6269230817,139963.105456959,43713.858969746,73643.1736114892,17977.7660147868,48031.7861342054,64188.9395853346,47883.6983794677,59871.0124208748,40565.0456584783,26410.973942487,151054.098877585,61281.7431370611,83533.876809504,66207.6095051816,-67507.8389306953,-5498.04015733096,78911.9800432132,32466.9837020274,63152.3253021701,94461.1942906831,-56268.7577553314,16925.5635469134,-67110.3402206104,-65808.7267973874,111506.874270239,40533.8692890603,-21772.1049937795,5359.13049265569,-133383.507511951,-56783.1678507364,53682.5030913057,57096.3155426293,-54405.9696825772,-10096.5546465576,28390.67340056,-71981.6479422476,33199.628383362,113432.01508183,110392.319063527,61710.4182165655,-19410.4950103293,45896.204829039,-86112.337381176,-97257.889448284,90275.7666962506,-70196.8007930395,-852.761113977068,44423.1213740156,142932.65464407,-13370.0734354989,5499.42415503883,-13525.9552825907,35023.4459943433,14540.5712863995,13597.4861114906,40487.1047349325,16886.5930851401,-73150.7617954407,7034.86034889902,43893.1230939016,-109510.202629748,1610.17207008284,-79035.30152318,-72496.0580376525,-26058.8557888212,20557.6105841665,1773.84800952987,52684.8592699141,71219.2108892028,-8498.7657138602,-73914.5828461937,-17430.7955522563,-31156.1921887433,-85286.1635915855,-30563.8411697919,29294.7881136964,-21569.4585925595,-43735.8572491013,-175962.634045245,-132370.275505851,-45614.2335065656,22825.6914593617,-12473.7528147169,22981.5733064539,19279.3794380088,-66408.8719086937,-202205.343003254,21757.9008067788,32560.5128102824,-96603.1856904959,-49308.6332826559,-63727.704138704,-10470.6710795789,-41530.1291127437,-69713.5670670536,17767.3255212125,-48614.9590630941,-65263.1403325637,-130172.341461848,38117.7006591279,17931.0014606596,-8740.3825768531
7,-5967.42944779734,30201.1522224395,-9010.28360635133,13200.1174677664,4848.09137336728,43713.858969746,13652.8941665593,23000.542141637,5614.89062132274,15001.4871296303,20047.7564661763,14955.2357464203,18699.1635031052,12669.4437025144,8248.78518096721,47177.8441438442,19139.7687852638,26089.6476834013,20678.2358478288,-21084.3289074937,-1717.17075912891,24646.1176705831,10140.2233259244,19723.9967837062,29502.5129076357,-17574.0923501856,5286.26237219904,-20960.1804578249,-20553.6551422417,34826.2905434418,12659.7065692072,-6799.95434557757,1673.78591516361,-41658.8915859725,-17734.7550497572,16766.3425415917,17832.5586387489,-16992.2986350701,-3153.39792196651,8867.09314598519,-22481.6075371017,10369.0459586477,35427.5585251718,34478.1880277028,19273.6543682403,-6062.36649754408,14334.4934980752,-26894.9632086686,-30375.9883660545,28195.3027611205,-21924.1566552546,-266.337896330405,13874.4139493018,44641.3209172735,-4175.79691924083,1717.60301504677,-4224.48258577749,10938.668257129,4541.37167418503,4246.82339163709,12645.1008692461,5274.09095556474,-22846.7500361281,2197.15683043485,13708.8826830765,-34202.681755852,502.89563495196,-24684.6339478949,-22642.2702366733,-8138.8101753414,6420.63840250789,554.015584815664,16454.7542757557,22243.4800269889,-2654.36983996361,-23085.3098021588,-5444.0585325261,-9730.83147109688,-26636.9291760231,-9545.82593825674,9149.47001189911,-6736.66297907971,-13659.7647606218,-54957.3814005172,-41342.4347534832,-14246.4270423912,7129.01485061943,-3895.85433665366,7177.70051715625,6021.41593690566,-20741.0949584088,-63153.6133619983,6795.51803484196,10169.4347258464,-30171.5085665997,-15400.2773393149,-19903.7014939747,-3270.24352165484,-12970.8625791252,-21773.2310889905,5549.16497149812,-15183.6261232257,-20383.2553093626,-40655.9668553133,11905.0787378858,5600.28492136183,-2729.83262309564
8,-10053.1148060527,50878.8001975166,-15179.3022979399,22237.765442844,8167.40601511174,73643.1736114892,23000.542141637,38748.1901167142,9459.20526306708,25272.4684380411,33773.737774587,25194.5503881645,31501.8114781827,21343.7583442586,13896.4331560449,79478.8254522543,32244.0834270079,43952.2956584785,34835.8838229062,-35520.0142657486,-2892.85611738428,41520.4323123269,17082.871301002,33228.3114254503,49701.8275493796,-29606.4443751071,8905.57701394349,-35310.86581608,-34626.0071671632,58670.6051851856,21327.3545442848,-11455.6397038328,2819.76722357475,-70181.2436108934,-29877.1070746788,28245.6571833358,30041.8732804929,-28626.3173266584,-5312.41661355524,14938.074454396,-37873.9595620232,17468.360600392,59683.5398335821,58084.1693361131,32469.6356766511,-10213.0518557993,24148.8081398193,-45308.9819002568,-51173.3403909759,47499.6174028643,-36934.8420135095,-448.689921252515,23373.7285910459,75205.6355590169,-7034.81561082965,2893.58432345791,-7116.8346106995,18427.9828988733,7650.6863159295,7154.47136671497,21302.7488443237,8885.0722639758,-38489.1020610496,3701.47147217928,23094.8639914874,-57620.0337807734,847.210276696433,-41585.3193061498,-38144.6222615948,-13711.1622002633,10816.6197109189,933.330226560133,27720.7355841665,37472.7946687329,-4471.72186488566,-38890.9951604137,-9171.41055744818,-16393.1834960187,-44874.2812009444,-16081.5112965119,15413.7846536434,-11349.0150040016,-23012.1167855435,-92584.7334254378,-69648.1201117376,-24000.4457339797,12009.9961590305,-6563.20636157567,12092.0151589006,10144.0639119834,-34941.7803166637,-106392.632053585,11448.1660099198,17132.0827009239,-50828.8605915211,-25944.2960309034,-33531.0535188962,-5509.26221324346,-21851.5479373803,-36680.5831139122,9348.47961324257,-25579.3114814807,-34338.9406676174,-68491.6522135676,20056.0600462968,9434.59956310628,-4598.85131468428
9,-2454.1656319223,12420.528885536,-3705.57013769848,5428.68163086319,1993.82654340868,17977.7660147868,5614.89062132274,9459.20526306708,2309.18047886422,6169.51309828267,8244.84233066192,6150.49174979489,7690.21985370194,5210.43668505576,3392.39621906414,19402.3649041626,7871.42322613832,10729.6311173312,8504.13334425878,-8671.14321661842,-706.203818254045,10135.9648197909,4170.26925985463,8111.69289124735,12133.2064110098,-7227.52297875493,2174.02879224045,-8620.08591278285,-8452.89827081099,14322.6637343159,5206.43219063734,-2796.54990470261,688.361362982912,-17132.6399228747,-7293.59713665991,6895.32771163288,7333.81985045682,-6988.25443725055,-1296.86674498045,3646.68161463778,-9245.78816567083,4264.37487868902,14569.9412646571,14179.5030588549,7926.4850243925,-2493.20945250246,5895.2052306165,-11060.8252608487,-12492.4320154567,11595.6030353282,-9016.53086021265,-109.534149899976,5705.99286934314,18359.1941081475,-1717.33865892132,706.381587866085,-1737.36113101366,4498.63780217032,1867.68496922644,1746.54901306735,5200.42544900961,2169.02317421731,-9395.95670636398,903.602937976396,5637.91646422894,-14066.1983219209,206.820909160208,-10151.8050278529,-9311.86232357582,-3347.16788724416,2640.55239199378,227.844504857247,6767.18389024139,9147.85582203004,-1091.63640603314,-9494.06681961685,-2238.92405692882,-4001.90272466627,-10954.7061587588,-3925.81733071505,3762.81195277386,-2770.52069098249,-5617.71622252448,-22601.7781749191,-17002.4938542741,-5858.98701123821,2931.87936093855,-1602.20944438983,2951.90183303094,2476.36812083596,-8529.98478836686,-25972.5613516778,2794.72542710549,4182.28274311002,-12408.3376326685,-6333.51959982854,-8185.59826837724,-1344.92067800219,-5334.39824241676,-8954.46119672623,2282.15014153952,-6244.41959901721,-8382.81961848749,-16720.1769977709,4896.08387320486,2303.17373723656,-1122.67123777634
10,-6556.87467917058,33184.3337271769,-9900.29307383564,14503.986472504,5326.97166282723,48031.7861342054,15001.4871296303,25272.4684380411,6169.51309828267,16483.2901621457,22028.0152278583,16432.4702025468,20546.2121953428,13920.8943044742,9063.57606070489,51837.9336346925,21030.3391788902,28666.7067923054,22720.771519233,-23166.9772638667,-1886.7878655022,27080.5891058761,11141.8449348287,21672.2755106659,32416.684863762,-19310.0098037809,5808.423911659,-23030.5657933646,-22583.8850958369,38266.329687068,13910.1953656115,-7471.63395195078,1839.11759351249,-45773.8350812341,-19486.5422950192,18422.4728310515,19594.006636542,-18670.748206721,-3464.88134778423,9742.95867850062,-24702.2749906969,11393.2699981076,38926.9891618536,37883.8426227179,21177.4495882556,-6661.18933308396,15750.412850035,-29551.5690303194,-33376.4396738163,30980.3523214135,-24089.7607407943,-292.645974925936,15244.8879887616,49050.8600608995,-4588.26992839189,1887.26281839565,-4641.7646227063,12019.1579215889,4989.95508864499,4666.31218804151,13894.1469573171,5795.05023808024,-25103.4851980567,2414.18555739483,15063.0060280919,-37581.1226469471,552.570195245298,-27122.9099084346,-24878.8074819352,-8942.73804560349,7054.85028919004,608.739624275668,18080.1067874377,24440.6259414486,-2916.56073105911,-25365.6092001985,-5981.80671528824,-10692.0145496923,-29268.0471504515,-10488.7347112966,10053.2279055257,-7402.09084934181,-15009.0363808838,-60385.9108332786,-45426.1195681892,-15653.6474473754,7833.19809146825,-4280.67543608247,7886.69278578284,6616.19379581004,-22789.8396689485,-69391.7426211485,7466.75943541301,11173.9417514173,-33151.7619576948,-16921.4717026325,-21869.7309267366,-3593.2686141392,-14252.0864563317,-23923.9271884191,6097.29526095807,-16683.4203129321,-22396.6536657356,-44671.8443783527,13081.0276037346,6153.46468998845,-2999.47750724668
